5.9556 	INFO 	Loaded monitor calibration from ['2025_02_20 13:57']
5.9822 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.3710 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001DD5C5C1B70>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001DD5C5C1B10>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001DD5C7870A0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.3711 	EXP 	window1: backgroundImage = ''
7.3711 	EXP 	window1: backgroundFit = 'none'
7.5049 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.5050 	EXP 	window1: recordFrameIntervals = False
7.6564 	EXP 	window1: recordFrameIntervals = True
7.8399 	EXP 	Screen (0) actual frame rate measured at 60.03Hz
7.8399 	EXP 	window1: recordFrameIntervals = False
9.7922 	INFO 	keyboard.Keyboard is using iohub backend.
9.7923 	EXP 	data_collection: status = STARTED
9.8520 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Ajustment Period', units='height', win=Window(...), wrapWidth=1)
9.8886 	EXP 	Created wordDisplayText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='wordDisplayText', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
9.8929 	EXP 	Created fixationCross = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='fixationCross', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
0.0052 	EXP 	text: autoDraw = True
10.0086 	EXP 	Imported words.csv as conditions, 20 conditions, 3 params
10.0089 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'word': 'I', 'marker': 1, 'keybind': 'a', 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
10.0199 	DATA 	Keypress: k
10.0214 	EXP 	text: autoDraw = False
10.0214 	EXP 	wordDisplayText: height = 0.05
10.0214 	EXP 	wordDisplayText: height = 0.05
10.0214 	EXP 	wordDisplayText: height = 0.05
10.0214 	EXP 	wordDisplayText: text = 'Yes'
10.0214 	EXP 	wordDisplayText: autoDraw = True
14.0331 	EXP 	wordDisplayText: autoDraw = False
14.0331 	EXP 	fixationCross: autoDraw = True
20.0123 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'word': 'More', 'marker': 2, 'keybind': 'b', 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
20.0190 	DATA 	Keypress: j
20.0284 	EXP 	fixationCross: autoDraw = False
20.0284 	EXP 	wordDisplayText: height = 0.05
20.0284 	EXP 	wordDisplayText: height = 0.05
20.0284 	EXP 	wordDisplayText: height = 0.05
20.0284 	EXP 	wordDisplayText: text = 'Stop'
21.0110 	EXP 	wordDisplayText: autoDraw = True
25.0242 	EXP 	wordDisplayText: autoDraw = False
25.0242 	EXP 	fixationCross: autoDraw = True
31.0033 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'word': 'What', 'marker': 3, 'keybind': 'c', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
31.0097 	DATA 	Keypress: b
31.0191 	EXP 	fixationCross: autoDraw = False
31.0191 	EXP 	wordDisplayText: height = 0.05
31.0191 	EXP 	wordDisplayText: height = 0.05
31.0191 	EXP 	wordDisplayText: height = 0.05
31.0191 	EXP 	wordDisplayText: text = 'More'
32.0017 	EXP 	wordDisplayText: autoDraw = True
36.0152 	EXP 	wordDisplayText: autoDraw = False
36.0152 	EXP 	wordDisplayText: autoDraw = False
36.0152 	EXP 	fixationCross: autoDraw = True
42.0110 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'word': 'Who', 'marker': 4, 'keybind': 'd', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
